Source,Target,Decision,Reason,NER_Status,tokens_src,tokens_tgt
jehovah keeps working with a view to bringing his purpose to a successful conclusion. john .,yihowaan kaayyoosaa karaa milkaa'ina qabuun galmaan ga'uuf hojjechuutti jira. yoh. .,KEEP,VALID,CONSISTENT,jehovah keeps working with a view to bringing his purpose to a successful conclusion. john .,yihowaan kaayyoosaa karaa milkaa'ina qabuun galmaan ga'uuf hojjechuutti jira. yoh. .
"the wilderness and the waterless region will exult, and the desert plain will be joyful and blossom as the saffron.","lafti duwwaanii fi lafti gogaan in gammadu, lafti onaanis ililchee, akka arfaasee in daraara.",KEEP,VALID,CONSISTENT,"the wilderness and the waterless region will exult, and the desert plain will be joyful and blossom as the saffron.","lafti duwwaanii fi lafti gogaan in gammadu, lafti onaanis ililchee, akka arfaasee in daraara."
what a joy it was to meet some who had graduated from the early classes of gilead school and were still serving faithfully in their foreign assignments!,obboloota mana barumsaa giil'aad warra jalqabaa irraa eebbifamanii fi amma iyyuu amanamummaadhaan biyyoota alaa tajaajilaa jiran tokko tokkoo wajjin wal arguun baay'ee nama gammachiisa!,KEEP,VALID,CONSISTENT,what a joy it was to meet some who had graduated from the early classes of gilead school and were still serving faithfully in their foreign assignments!,obboloota mana barumsaa giil'aad warra jalqabaa irraa eebbifamanii fi amma iyyuu amanamummaadhaan biyyoota alaa tajaajilaa jiran tokko tokkoo wajjin wal arguun baay'ee nama gammachiisa!
"he would not get involved in politics, for his kingdom was to be a heavenly one.",mootummaan isaa samii irraa waan ta'uuf dhimma siyaasaa irratti hin hirmaatu.,KEEP,VALID,CONSISTENT,"he would not get involved in politics, for his kingdom was to be a heavenly one.",mootummaan isaa samii irraa waan ta'uuf dhimma siyaasaa irratti hin hirmaatu.
"it must quickly pass by, and away we fly, perhaps in some or years.","tarii, waggaa ykn erga jiraannee booda dafee in darba, nuyis baallee baafnee in sokkina.",KEEP,VALID,CONSISTENT,"it must quickly pass by, and away we fly, perhaps in some or years.","tarii, waggaa ykn erga jiraannee booda dafee in darba, nuyis baallee baafnee in sokkina."
how do our meetings encourage us and help us to keep strong?,"walga'iiwwan keenya, kan nu jajjabeessanii fi cimoo taanee akka itti fufnu kan nu gargaaran akkamitti?",KEEP,VALID,CONSISTENT,how do our meetings encourage us and help us to keep strong?,"walga'iiwwan keenya, kan nu jajjabeessanii fi cimoo taanee akka itti fufnu kan nu gargaaran akkamitti?"
what does this illustration mean?,hiikni fakkeenya kanaa maalidha?,KEEP,VALID,CONSISTENT,what does this illustration mean?,hiikni fakkeenya kanaa maalidha?
"adds hannah i know that jehovah would have drawn this woman to himself in one way or another, but because of serving where the need is greater, we were able to find and help this sheeplike one to get to know jehovah.","jenna. yihowaan karaa ta'e tokkoon dubartii kana garasaatti akka harkisu ifadha ta'us bakka labsitoonni caalaatti barbaachisanitti tajaajiluun keenya, dubartii hoolaatti fakkeeffamte kana argachuufi yihowaa akka beektu gargaaruuf nu dandeessiseera.",KEEP,VALID,CONSISTENT,"adds hannah i know that jehovah would have drawn this woman to himself in one way or another, but because of serving where the need is greater, we were able to find and help this sheeplike one to get to know jehovah.","jenna. yihowaan karaa ta'e tokkoon dubartii kana garasaatti akka harkisu ifadha ta'us bakka labsitoonni caalaatti barbaachisanitti tajaajiluun keenya, dubartii hoolaatti fakkeeffamte kana argachuufi yihowaa akka beektu gargaaruuf nu dandeessiseera."
we can see that from the resurrections jesus performed when outside of nain and when in the home of jairus.,"kanas, du'aa kaasuu yesuus magaalaa naayinii alattii fi mana yaayirositti raawwate irraa hubachuu dandeenya.",KEEP,VALID,CONSISTENT,we can see that from the resurrections jesus performed when outside of nain and when in the home of jairus.,"kanas, du'aa kaasuu yesuus magaalaa naayinii alattii fi mana yaayirositti raawwate irraa hubachuu dandeenya."
"the apostle paul explains if you belong to christ, you are really abraham s seed.","phaawulos ergamaan, erga kan kristos taatanii, yoos isin sanyii abrahaam jechuudhaan ibseera.",KEEP,VALID,CONSISTENT,"the apostle paul explains if you belong to christ, you are really abraham s seed.","phaawulos ergamaan, erga kan kristos taatanii, yoos isin sanyii abrahaam jechuudhaan ibseera."
