Source,Target,Decision,Reason
"samantha yes, i m curious about that.","gaaddisee eeyyee, maaliifi garuu?",REMOVE,P2_EN_XX
"god, however, loves justice.","haata'u malee, waaqayyo haqa ni jaallata.",REMOVE,P2_XX_OM
b what are you determined to do?,b maal gochuuf murteessiteetta?,REMOVE,P2_EN_XX
what did he do when he was released?,yommuu hiikame maal godhe?,REMOVE,P2_EN_XX
what do we know about them?,waa'ee ogeeyyii kanaa maal beekna?,REMOVE,P2_EN_XX
what will help us to keep ourselves ready?,qophaa'oo ta'uuf maaltu nu gargaararee?,REMOVE,P2_EN_XX
as told by piero gatti,piyeeroo gaatiin akka dubbatetti,REMOVE,P2_OM_OM
i was truly home.,dhugumayyuu manakoottan deebi e.,REMOVE,P2_EN_XX
foretelling the messiah,raajiiwwan masiihicha ilaalchisee dubbataman,REMOVE,P2_EN_XX
our answer to the question what?,deebiin gaaffii maal?,REMOVE,P2_EN_XX
the best source of insight and wisdom is god s word.,maddi hubannaafi ogummaa inni hunda caalu dubbii waaqayyooti.,REMOVE,P2_EN_XX
history street fighter,seenaa namoota kan lolu,REMOVE,P2_XX_OM
we spent our days in the service.,guyyaa guutuu tajaajilaa oolla.,REMOVE,P2_EN_XX
b we must avoid what snare?,b ilaalcha akkamii qabaachuurra of eeggachuu qabna?,REMOVE,P2_EN_EN
how will i care for my family?,maatii kootiif wanta barbaachisu akkamittan dhiheessa?,REMOVE,P2_EN_XX
dorothy and her husband were in the same class.,dooraatiifi abbaa manaashee wajjin kutaa tokko turre.,REMOVE,P2_EN_XX
learn watchfulness from jesus apostles,dammaqinaan jiraachuu ergamoota yesusirraa baradhaa,REMOVE,P2_XX_OM
all these prophesied events clearly fit world conditions since .,"wantoonni raajiidhaan dubbataman kun hundi, bara jalqabee haala biyyi lafaa kun irratti argamtu akka gaariitti ibsu.",REMOVE,P2_XX_OM
"you will know the truth, and the truth will set you free. john .",dhugicha in hubattu dhugichis birmaduu isin in baasa. yohannis .,REMOVE,P2_EN_EN
follow jesus example,fakkeenya yesus hordofaa,REMOVE,P2_XX_OM
so the ten commandments including the sabbath law are part of the law that came to an end.,"seera guyyaa sanbataa kabajuu dabalatee, abboommiiwwan kurnan kutaa seerichaa ta'an hafaniiru.",REMOVE,P2_EN_XX
"yes, esau chose a bowl of stew over his right as firstborn!","eeyyee, esaawu angafummaasaa caalaa ittoo waciitii tokko filate.",REMOVE,P2_EN_XX
moses decision saved him much heartache.,murtoon museen godhe dhiphina hedduurraa isa oolcheera.,REMOVE,P2_XX_OM
how we should be affected,kun maal gochuuf nu kakaasuu qaba?,REMOVE,P2_EN_XX
asked her about her science and her faith.,waa'ee saayinsiifi waa'ee amantiishee ishee gaafateera.,REMOVE,P2_EN_XX
consider three reasons,mee sababiiwwan sadii haa ilaallu,REMOVE,P2_XX_XX
"look under bible teachings teenagers, or use the search function",barumsawwan kitaaba qulqulluu dargaggoota jalaa ilaali,REMOVE,P2_EN_XX
dedication vow see paragraph,waadaa of murteessuuf galte keeyyata ilaali,REMOVE,P2_XX_XX
achieving proper balance brings many benefits.,ilaalcha sirrii qabaachuun garuu faayidaa hedduu qaba.,REMOVE,P2_XX_OM
powerful despite weaknesses,dadhabina qabaataniyyuu humna argachuu,REMOVE,P2_XX_OM
as told by malcolm allen,maalkam alan akka dubbatetti,REMOVE,P2_XX_OM
b what are you resolved to do?,b maal gochuuf murteessiteetta?,REMOVE,P2_EN_XX
"see the watchtower of july , , pages .","masaraa eegumsaa, adoolessa , , fuula ilaali.",REMOVE,P2_EN_XX
i have a very important appointment.,beellama hunda caalu tokkon qaba.,REMOVE,P2_EN_XX
count the cost.,baasii kee shallagi.,REMOVE,P2_EN_XX
trained by experienced shepherds,tiksitoota muuxannoo qabaniin leenjifamuu,REMOVE,P2_XX_OM
everything he does will succeed. psalm .,wanti inni hojjetu hundinuus wal in qixxaataaf. faarfannaa .,REMOVE,P2_EN_EN
"six months after my visit to bethel, i was baptized.",bet'eliin daawwadhee ji'a ja'a booda nan cuuphame.,REMOVE,P2_EN_XX
qualities that the wise seek to display,amaloota ogeessi argisiisuu barbaadu,REMOVE,P2_EN_XX
"after finding accommodations, we would begin to prepare a meal.",bakka bultii erga argannee booda wanta nyaatamu qopheeffanna.,REMOVE,P2_EN_XX
apostle. hebrews .,ergamaa. ibroota .,REMOVE,P2_XX_XX
"angrily, the priest left.",lubichis aaree sokke.,REMOVE,P2_EN_XX
come well equipped.,barreeffamoota barbaachisan qabadhuu kottu.,REMOVE,P2_XX_OM
b what should be kept in mind regarding read scriptures?,b caqasawwan qajeelfama dubbisi jedhu qaban ilaalchisee maaltu yaadatamuu qaba?,REMOVE,P2_EN_XX
what did jesus discuss?,yesus waa'ee maalii dubbate?,REMOVE,P2_EN_XX
but rather the giving of thanks. .,dubbii galateeffachiisu malee. .,REMOVE,P2_EN_XX
what prospects did the first human couple have?,dhiiraafi dubartiin jalqabaa abdii akkamii qabu turan?,REMOVE,P2_EN_XX
"with time, however, certain limited responsibilities may come your way.","haata u malee, suuta suuta mirgawwan tokko tokko argachuu dandeessa.",REMOVE,P2_EN_XX
what question should we ask ourselves?,gaaffii akkamii of gaafachuu qabna?,REMOVE,P2_EN_EN
a new heavens and a new earth,bantiiwwan waaqaa haaraafi lafa haaraa,REMOVE,P2_EN_XX
how did david react to jehovah s direction?,daawit qajeelfama yihowaatiif deebii akkamii kenne?,REMOVE,P2_EN_XX
and he does! tim.,innis furmaata kenneera! xim.,REMOVE,P2_EN_XX
the same is true spiritually.,karaa hafuuraas haallisaa wal fakkaata.,REMOVE,P2_EN_XX
such trials call for courage and faith.,qorumsi akkasii ija jabinaafi amantii gaafata.,REMOVE,P2_EN_XX
jesus did not contrast simple with its antonym complex but with the term wicked.,yesus jecha ija fayyaa jedhu jecha ija dhukkubsataa jedhuu wajjin walbira qabeera.,REMOVE,P2_EN_XX
